index,in,class,name,val_2018_1,val_2018_2,val_2018_3,val_2018_4,val_2019_1,val_2019_2,val_2019_3,val_2019_4
29,강원도영월군,군수,최명서,213921,398266,19607,2649,226972,525464,11396,2346
30,강원도원주시,시장,원창묵,764068,676386,16078,454225,790347,712548,12360,434845
31,강원도의회,의원,곽도영,60154,0,12000,99987,60154,20539,12000,97385
32,강원도의회,의원,권순성,179060,304649,37861,423460,179060,328057,37861,443626
33,강원도의회,의원,김경식,380095,245683,26720,52604,301932,301341,26620,50263
34,강원도의회,의원,김규호,200000,153873,11040,7529,200000,185985,9000,267
35,강원도의회,의원,김병석,137000,107252,10000,178784,137000,142946,10000,193230
36,강원도의회,의원,김상용,6933,5701,0,1300,6933,12227,21800,24664
37,강원도의회,의원,김수철,107000,52699,23144,162083,107000,85182,23144,118267
38,강원도의회,의원,김정중,1041312,204195,32000,672012,862312,177608,83800,437319
39,강원도의회,의원,김준섭,255905,35523,35222,180181,254465,30109,33222,186428
40,강원도의회,의원,김진석,20000,1950,0,0,20000,1565,0,0
41,강원도의회,의원,김혁동,140971,823283,18130,7354,140438,823685,16320,6438
42,강원도의회,의원,김형원,75443,96870,32900,58447,75443,106699,32900,76558
43,강원도의회,의원,나일주,100000,385823,57000,124875,182700,382263,52600,154387
44,강원도의회,의원,남상규,319518,102660,17440,82886,336518,103413,39170,52508
45,강원도의회,의원,박병구,5000,15465,9200,42632,20000,13817,10907,35852
46,강원도의회,의원,박상수,67000,7021,7226,78999,67000,21789,7226,45000
47,강원도의회,의원,박윤미,473392,114842,57540,309841,612390,112466,36370,458672
48,강원도의회,의원,박인균,22900,42870,42000,19893,22900,48480,42000,48711
49,강원도의회,의원,박효동,545041,94329,19421,546492,545041,71514,18220,549161
50,강원도의회,의원,반태연,287876,281162,1307,193499,287876,285280,1307,195339
51,강원도의회,의원,신도현,574567,247487,32174,317248,611063,282849,49589,410463
52,강원도의회,의원,신명순,410728,421889,31735,0,410728,456465,30654,0
53,강원도의회,의원,신영재,186000,141255,17410,146621,232932,190212,14920,134754
54,강원도의회,의원,심상화,1427856,437889,6767,973660,1427856,463181,5267,968369
55,강원도의회,의원,심영미,1607000,221504,139300,1064370,1558460,207835,139300,1008575
56,강원도의회,의원,심영섭,1315871,199920,35559,666310,1419917,193439,64157,693938
57,강원도의회,의원,안미모,373461,1367978,34490,105874,581155,1194917,28350,3000
58,강원도의회,의원,원태경,186394,95260,6500,184054,93500,103773,6500,175428
59,강원도의회,의원,위호진,849601,352819,6423,567957,849601,514129,16336,600118
60,강원도의회,의원,윤석훈,313148,66466,14130,360143,315448,76313,21780,396437
61,강원도의회,의원,윤지영,774366,219458,22207,32422,774366,279589,22207,28124
62,강원도의회,의원,이병헌,343282,178040,28630,362785,343282,169230,28660,373316
63,강원도의회,의원,이상호,18000,70877,6980,36110,18000,71774,6980,73512
64,강원도의회,의원,이종주,189000,429047,18870,2906,189000,465541,12390,0
65,강원도의회,의원,장덕수,71678,92590,19750,179379,71678,91057,19750,173936
66,강원도의회,의원,정수진,248163,76698,18188,416721,257536,92838,26150,410371
67,강원도의회,의원,정유선,460000,379675,20160,406443,464000,491997,20160,420921
68,강원도의회,의원,조성호,2209994,256901,42010,360501,2214994,289955,42010,358150
69,강원도의회,의원,조형연,187091,11558,30000,146965,187091,10513,14000,124423
70,강원도의회,의원,주대하,460880,583116,6572,70162,460880,594568,6572,0
71,강원도의회,의원,최재연,916973,83395,119333,375268,916973,151699,119333,253752
72,강원도의회,의원,최종희,1528142,254237,35287,184800,1498643,408261,33287,154000
73,강원도의회,의원,한창수,281258,177480,27830,362820,281258,187408,28130,335863
74,강원도의회,의원,함종국,201667,379428,18600,90390,286133,364856,47000,161130
75,강원도의회,의원,허소영,0,50222,4870,0,0,89742,4870,0
76,강원도의회,의장,한금석,353632,227114,1796,46720,374239,237968,1796,40880
77,강원도인제군,군수,최상기,541388,177309,16120,708930,541388,144580,9176,730492
78,강원도정선군,군수,최승준,251199,44341,7734,50572,251199,54219,7734,0
79,강원도철원군,군수,이현종,0,609878,1542,0,71564,480575,1297,0
80,강원도춘천시,시장,이재수,183000,280555,14550,381736,190000,295260,26266,412235
81,강원도태백시,시장,류태호,158270,81253,8881,42796,159870,102103,31655,35372
82,강원도평창군,군수,한왕기,127646,349761,18552,284763,162804,331177,16621,130341
83,강원도홍천군,군수,허필홍,393342,149043,20650,1745,393342,191689,15087,1745
84,강원도화천군,군수,최문순,192812,394933,12792,251430,206594,222403,10863,208979
85,강원도횡성군,군수,한규호,483840,506354,15909,30000,521670,505564,13705,80000
86,개인정보보호위원회,상임위원,김일재,1758000,585844,22900,172700,1890000,706792,16800,100840
87,경기도,도지사,이재명,887000,2095289,26310,225174,887000,1938197,26309,0
88,경기도,소방재난본부장,이재열,262000,211478,5590,37890,264000,440960,5040,141390
89,경기도,평화부지사,이화영,911840,379304,0,300000,416000,620288,0,0
90,경기도,행정1부지사,김희겸,580558,622248,3820,62295,651151,660333,3370,118065
91,경기도,행정2부지사,이화순,1593500,616354,28850,554973,1883100,751416,36590,573290
92,경기도가평군,군수,김성기,202333,172456,6807,6600,205770,313196,5732,76346
93,경기도고양시,시장,이재준,1862974,247311,35227,456317,1893513,221890,25694,386403
94,경기도과천시,시장,김종천,850500,267349,39074,247386,850500,265817,39074,290756
95,경기도광명시,시장,박승원,20000,39505,7710,41523,25000,108532,6470,3803
96,경기도광주시,시장,신동헌,1216430,245589,6305,199741,1216430,671452,6228,764984
97,경기도교육청,교육감,이재정,380000,361921,5940,200000,380000,375496,4880,40000
98,경기도구리시,시장,안승남,216000,233287,1200,230174,216000,258796,1000,206264
